Style,Yarn,Percentage,This Week,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Later,Total
CF5474/0,18771,100,,,,,,,,,,,0.0
CF5482/0,13545,18.3,0.6,,,,,,,,,,0.6
CF5482/0,18415,81.7,2.6,,,,,,,,,,2.6
CF5487/0,13561,1.7,0.0,,,,,,,,,,0.0
CF5487/0,18573,66,0.3,,,,,,,,,,0.3
CF5487/0,19031,32.3,0.2,,,,,,,,,,0.2
CF5488/0,13545,17.5,,,,,,,,,,,0.0
CF5488/0,18415,82.5,,,,,,,,,,,0.0
CF5489/A,13561,7.26,,,,,,,,,,,0.0
CF5489/A,18865,92.75,,,,,,,,,,,0.0
CF5489/B,13561,7.61,3.0,,,,,,,,,,3.0
CF5489/B,18865,92.38,37.0,,,,,,,,,,37.0
CF5489/C,13561,7.28,,,,,,,,,,,0.0
CF5489/C,18865,92.73,,,,,,,,,,,0.0
CF5490/A,13561,3,3.0,,,,,,,,,,3.0
CF5490/A,18575,97,97.0,,,,,,,,,,97.0
CF5490/B,13561,3.01,3.0,,,,,,,,,,3.0
CF5490/B,18575,96.99,97.0,,,,,,,,,,97.0
CF5490/C,13561,3.01,3.0,,,,,,,,,,3.0
CF5490/C,18575,96.99,97.0,,,,,,,,,,97.0
CF5491/0,9296,76.26,22.9,,,,,,,,,,22.9
CF5491/0,12150,23.72,7.1,,,,,,,,,,7.1
CF5492/0,9296,27.27,8.2,,,,,,,,,,8.2
CF5493/0,9296,100,25.0,,,,,,,,,,25.0
CK3013Q-14/0,18991,100,,,,,,,,,,,0.0
CK3013Q14L/0,18991,100,0.5,,,,,,,,,,0.5
CK309T-14/0,18991,100,0.5,,,,,,,,,,0.5
CK309T-14L/0,18991,100,950.6,,,,,,,,,,950.6
CK309T-16/0,18975,43.1,,,,,,,,,,,0.0
CK309T-16/0,18991,56.9,,,,,,,,,,,0.0
CK309T-18/0,18975,100,0.2,,,,,,,,,,0.2
CK309T14L/0,18991,100,2.0,,,,,,,,,,2.0
CK3813K-14/0,18991,100,10.2,,,,,,,,,,10.2
CK3813K14L/0,18991,100,1.9,,,,,,,,,,1.9
CMR4649A/1,12066,1.92,1.0,,,,,,,,,,1.0
CMR4649A/1,12243,3.97,2.0,,,,,,,,,,2.0
CMR4649A/1,18426,94.11,47.1,,,,,,,,,,47.1
CMR4659A/1,12243,3.71,1.9,,,,,,,,,,1.9
CMR4659A/1,14895,2.73,1.4,,,,,,,,,,1.4
CMR4659A/1,18426,93.56,46.8,,,,,,,,,,46.8
CSP4479A/1M,11759,38.5,252.0,252.0,105.3,,,,,,,,609.2
CSP4479A/1M,18285,19.8,129.6,129.6,54.1,,,,,,,,313.3
CSP4479A/1M,18376,23.4,153.1,153.1,64.0,,,,,,,,370.3
CSP4479A/1M,18469,18.3,119.8,119.8,50.0,,,,,,,,289.6
CT0246/0,11344,85.9,,,"1,374.4",,,,,,,,"1,374.4"
CT0246/0,13560,14.1,,,225.6,,,,,,,,225.6
CT2155/1UU,18865,100,"4,799.4","4,799.4","4,799.4","4,799.4","4,799.4","4,658.3","3,199.6","3,199.6","3,199.6","22,792.8","61,047.0"
CT22150/1BA,12526,64.9,,"1,985.6","1,985.6",571.9,,,,,,,"4,543.0"
CT22150/1BA,18646,35.1,,"1,073.9","1,073.9",309.3,,,,,,,"2,457.0"
CT3085/1K,18376,43.8,11.4,,,,,,,,,,11.4
CT3085/1K,18763,28.1,7.3,,,,,,,,,,7.3
CT3085/1K,18865,9,2.3,,,,,,,,,,2.3
CT3085/1K,19049,19.1,5.0,,,,,,,,,,5.0
DFF446J/B,18884,100,,,,"5,411.9","5,411.9","5,411.9","4,562.4",,,,"20,798.2"
FAB310-40/0,18659,100,,,,,,,,,,,0.0
